"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"83";"Développeur java expérimenté / bac +5 avec 5 ans minimum d'expérience";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java"
"84";"Développeur full stack expérimenté - Tanger";"Tanger";"Informatique / Multimédia / Internet";"CDI";"Global secur";"Plus de 10 000 DH";"Bac plus 2";"java,javascript,html,css,php,laravel,ruby,python,django,oracle"
"85";"Développeur consultant Zoho CRM";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Forleaders";"A discuter";"Bac plus 3";"java,c++,javascript,php"
"86";"Full stack engineer angular/nodejs";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"SARL";"Plus de 10 000 DH";"Pas important";"angular,node"
"87";"Développeur Shopify";"Agadir";"Informatique / Multimédia / Internet";"A discuter";"ZoneCom";"A discuter";"Pas important";"wordpress"
"88";"Développeur wordpress";"Agadir";"Informatique / Multimédia / Internet";"A discuter";"ZoneCom";"A discuter";"Bac plus 2";"java,javascript,jquery,php,wordpress"
"89";"Developpeur JAVA";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"NISMATECH";"A discuter";"Pas important";"java,c++"
"90";"DEVELOPPEUR WEB A RABAT";"Rabat";"Informatique / Multimédia / Internet";"CDI";"PRO SYSTEM SERVICE";"6 000 - 8 000 DH";"Bac plus 5";"java,javascript,html,ajax,wordpress"
"91";"It Team Leader";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Profonde Solution";"A discuter";"Bac plus 5";"scala"
"92";"Developpeur react native en freelance";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"RH WE";"A discuter";"Bac plus 5";"java,javascript,react,html,css,php,python,react native,bootstrap,wordpress"
"93";"Développeur full stack (MARRAKECH)";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"VIAPRESTIGE GROUPE";"6 000 - 8 000 DH";"Bac plus 2";"java,javascript,html,css,php,wordpress"
"94";"Développeur(euse) Prestashop / Wordpress";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"VIAPRESTIGE GROUPE";"6 000 - 8 000 DH";"Bac plus 2";"java,javascript,html,css,php,wordpress"
"95";"Développeur Web / Mobile";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"1 Minute Script";"A discuter";"Bac plus 3";"java,react,angular"
"96";"Développeur JAVA";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"1pay";"A discuter";"Bac plus 3";"java,javascript,angular,jee,oracle"
"97";"Business Analyste IT";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Profonde Solution";"A discuter";"Bac plus 5";"vue"
"98";"Développeurs informatique";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Confidentiel";"A discuter";"Bac plus 5";"java,react,php,vue"
"99";"Responsable de l'analyse de Performance";"Casablanca";"Autre";"CDI";"MaxAB";"A discuter";"Bac plus 3";"python"
"100";"Développeur Full-Stack";"Rabat";"Informatique / Multimédia / Internet";"CDI";"UA Tech Sàrl";"6 000 - 8 000 DH";"Bac plus 3";"php,oracle"
"101";"Développeurs frontend /backend";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Confidentiel";"A discuter";"Bac plus 2";"java,javascript,html,css,php,wordpress"
"102";"Recrutement Développeur Fullstack Reactjs / Larave";"Safi";"Informatique / Multimédia / Internet";"A discuter";"crée";"A discuter";"Bac plus 2";"react,php,laravel"
